IP 地址,已发送,已接收,丢包率,平均延迟,下载速度 (MB/s)
172.67.14.61,4,4,0.00,132.16,15.25
172.67.4.130,4,4,0.00,139.24,14.67
172.67.9.244,4,4,0.00,132.48,12.57
172.67.3.209,4,4,0.00,138.71,11.67
172.67.10.146,4,4,0.00,134.13,10.11
172.67.15.179,4,4,0.00,134.45,9.91
172.67.8.151,4,4,0.00,134.95,9.24
172.67.13.237,4,4,0.00,136.73,9.20
104.18.8.159,4,4,0.00,183.09,7.78
104.18.6.73,4,4,0.00,183.83,6.47
104.16.1.225,4,4,0.00,183.68,6.41
104.16.5.8,4,4,0.00,184.16,6.39
104.16.4.60,4,4,0.00,181.70,5.86
104.18.13.180,4,4,0.00,183.86,5.82
104.18.15.225,4,4,0.00,184.04,5.68
