IP地址,端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
8.219.59.159,443,SG,SIN,隧道,99 ms,71 Mbps,9187 kB/s
47.250.139.249,443,MY,Kuala Lumpur,中转,197 ms,26 Mbps,3336 kB/s
47.237.146.131,443,SG,SIN,隧道,220 ms,57 Mbps,7344 kB/s
47.237.117.6,443,SG,SIN,隧道,214 ms,52 Mbps,6677 kB/s
47.236.54.5,443,SG,SIN,隧道,227 ms,56 Mbps,7223 kB/s
47.237.75.6,443,SG,SIN,隧道,226 ms,57 Mbps,7301 kB/s
47.81.9.160,443,TH,Bangkok,中转,252 ms,25 Mbps,3220 kB/s
8.221.126.227,443,US,Ashburn,中转,252 ms,38 Mbps,4915 kB/s
8.219.88.202,443,SG,NRT,隧道,228 ms,50 Mbps,6408 kB/s
47.236.30.166,443,SG,SIN,隧道,213 ms,30 Mbps,3869 kB/s
47.237.132.182,443,SG,SIN,隧道,217 ms,46 Mbps,6014 kB/s
8.222.166.151,443,SG,SIN,隧道,120 ms,73 Mbps,9367 kB/s
8.222.209.54,443,SG,SIN,隧道,100 ms,55 Mbps,7166 kB/s
47.237.91.26,443,SG,SIN,隧道,217 ms,13 Mbps,1728 kB/s
47.237.142.176,443,SG,SIN,隧道,221 ms,56 Mbps,7213 kB/s
47.236.253.17,443,SG,SIN,隧道,223 ms,43 Mbps,5609 kB/s
47.245.85.72,443,SG,SIN,中转,220 ms,50 Mbps,6455 kB/s
47.237.125.183,443,SG,SIN,隧道,214 ms,45 Mbps,5782 kB/s
47.79.93.248,443,JP,NRT,中转,83 ms,88 Mbps,11366 kB/s
8.219.198.9,443,SG,SIN,隧道,215 ms,77 Mbps,9979 kB/s
8.222.207.228,443,SG,SIN,隧道,117 ms,19 Mbps,2533 kB/s
8.222.136.68,443,SG,SIN,隧道,211 ms,48 Mbps,6147 kB/s
47.236.62.71,443,SG,SIN,隧道,219 ms,56 Mbps,7239 kB/s
8.219.0.201,443,SG,SIN,隧道,97 ms,51 Mbps,6655 kB/s
47.236.57.79,443,SG,SIN,隧道,217 ms,58 Mbps,7444 kB/s
47.237.98.1,443,SG,SIN,隧道,224 ms,51 Mbps,6599 kB/s
47.236.56.156,443,SG,SIN,隧道,220 ms,53 Mbps,6832 kB/s
8.219.159.152,443,SG,SIN,隧道,118 ms,18 Mbps,2384 kB/s
47.238.89.163,443,HK,HKG,中转,52 ms,88 Mbps,11366 kB/s
47.89.155.85,443,US,Ashburn,中转,253 ms,45 Mbps,5862 kB/s
47.237.64.187,443,SG,SIN,隧道,220 ms,30 Mbps,3890 kB/s
47.237.166.238,443,SG,SIN,隧道,222 ms,55 Mbps,7089 kB/s
8.222.242.35,443,SG,SIN,隧道,221 ms,56 Mbps,7241 kB/s
47.236.232.36,443,SG,SIN,隧道,218 ms,56 Mbps,7208 kB/s
8.222.150.121,443,SG,SIN,隧道,219 ms,47 Mbps,6108 kB/s
47.236.17.197,443,SG,SIN,隧道,229 ms,53 Mbps,6835 kB/s
47.250.153.156,443,MY,Kuala Lumpur,中转,204 ms,67 Mbps,8623 kB/s
47.237.122.30,443,SG,SIN,隧道,226 ms,14 Mbps,1884 kB/s
8.222.192.12,443,SG,SIN,隧道,221 ms,60 Mbps,7690 kB/s
8.220.203.37,443,KR,Seoul,中转,123 ms,80 Mbps,10342 kB/s
47.236.36.172,443,SG,SIN,隧道,217 ms,59 Mbps,7603 kB/s
47.250.59.132,443,MY,Kuala Lumpur,中转,197 ms,60 Mbps,7782 kB/s
47.238.137.118,443,HK,HKG,中转,49 ms,10 Mbps,1355 kB/s
47.250.139.59,443,MY,Kuala Lumpur,中转,201 ms,2 Mbps,279 kB/s
47.239.125.132,443,HK,HKG,中转,50 ms,58 Mbps,7502 kB/s
47.237.145.244,443,SG,SIN,隧道,222 ms,19 Mbps,2489 kB/s
8.222.156.113,443,SG,SIN,隧道,126 ms,54 Mbps,6974 kB/s
47.76.218.163,443,HK,HKG,中转,51 ms,10 Mbps,1285 kB/s
8.222.237.72,443,SG,SIN,中转,219 ms,59 Mbps,7669 kB/s
8.219.223.218,443,SG,SIN,隧道,215 ms,60 Mbps,7692 kB/s
